H20:;;;H:;=B1+25-SUM(D5:D56)
OT20:;;;OT:;=ROUND(B2+SUM(C5:C56)/7.7+SUM(D5:D56)+SUM(E5:E56)-SUM(B4:OFFSET(B4,52-SUMPRODUCT(ISBLANK(C5:C56),ISBLANK(D5:D56),ISBLANK(E5:E56)),0)),2)

Week;Days;Worked;Holiday;Sick
2101;4;;;
2102;5;;;
2103;5;;;
2104;5;;;
2105;5;;;
2106;5;;;
2107;5;;;
2108;5;;;
2109;5;;;
2110;5;;;
2111;5;;;
2112;5;;;
2113;5;;;
2114;4;;;
2115;5;;;
2116;5;;;
2117;5;;;
2118;5;;;
2119;4;;;
2120;5;;;
2121;4;;;
2122;4;;;
2123;5;;;
2124;5;;;
2125;5;;;
2126;5;;;
2127;5;;;
2128;5;;;
2129;5;;;
2130;5;;;
2131;5;;;
2132;5;;;
2133;5;;;
2134;5;;;
2135;5;;;
2136;5;;;
2137;5;;;
2138;5;;;
2139;5;;;
2140;5;;;
2141;5;;;
2142;5;;;
2143;4;;;
2144;4;;;
2145;5;;;
2146;5;;;
2147;5;;;
2148;5;;;
2149;4;;;
2150;5;;;
2151;4.5;;;
2152;4.5;;;
